frame.time_relative,frame.len,sll.pkttype,sll.hatype,sll.unused,sll.etype,ip.version,ip.hdr_len,ip.dsfield,ip.dsfield.dscp,ip.len,ip.flags,ip.flags.df,ip.ttl,ip.proto,Label
2.489917,76,0,1,0,0x0800,4,20,0x00,0,60,0x40,1,56,6,0
2.489949,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.490077,491,4,1,0,0x0800,4,20,0x00,0,475,0x40,1,64,6,0
2.491867,263,0,1,0,0x0800,4,20,0x00,0,247,0x00,0,64,17,0
2.492308,274,0,772,0,0x0800,4,20,0x00,0,258,0x40,1,64,17,0
2.492885,76,4,1,0,0x0800,4,20,0x00,0,60,0x40,1,64,6,0
2.499373,770,0,1,0,0x0800,4,20,0x00,0,754,0x00,0,56,6,0
2.499374,68,0,1,0,0x0800,4,20,0x00,0,52,0x40,1,56,6,0
2.49939,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.501571,956,0,1,0,0x0800,4,20,0x00,0,940,0x40,1,56,6,0
2.501588,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.515607,132,4,1,0,0x0800,4,20,0x00,0,116,0x40,1,64,6,0
2.516397,238,4,1,0,0x0800,4,20,0x00,0,222,0x40,1,64,6,0
2.516778,132,4,1,0,0x0800,4,20,0x00,0,116,0x40,1,64,6,0
2.517151,238,4,1,0,0x0800,4,20,0x00,0,222,0x40,1,64,6,0
2.517182,255,4,1,0,0x0800,4,20,0x00,0,239,0x40,1,64,6,0
2.521126,770,0,1,0,0x0800,4,20,0x00,0,754,0x00,0,56,6,0
2.521141,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.523805,132,4,1,0,0x0800,4,20,0x00,0,116,0x40,1,64,6,0
2.524207,255,4,1,0,0x0800,4,20,0x00,0,239,0x40,1,64,6,0
2.524429,394,4,1,0,0x0800,4,20,0x00,0,378,0x40,1,64,6,0
2.524683,76,0,1,0,0x0800,4,20,0x00,0,60,0x40,1,56,6,0
2.524717,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.524897,284,4,1,0,0x0800,4,20,0x00,0,268,0x40,1,64,6,0
2.547354,682,0,1,0,0x0800,4,20,0x00,0,666,0x00,0,56,6,0
2.547374,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.547493,99,0,1,0,0x0800,4,20,0x00,0,83,0x00,0,56,6,0
2.547502,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.5479,99,4,1,0,0x0800,4,20,0x00,0,83,0x40,1,64,6,0
2.548639,654,0,1,0,0x0800,4,20,0x00,0,638,0x00,0,56,6,0
2.54864,99,0,1,0,0x0800,4,20,0x00,0,83,0x00,0,56,6,0
2.548658,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.548681,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.549024,99,4,1,0,0x0800,4,20,0x00,0,83,0x40,1,64,6,0
2.553935,68,0,1,0,0x0800,4,20,0x00,0,52,0x00,0,56,6,0
2.555481,682,0,1,0,0x0800,4,20,0x00,0,666,0x00,0,56,6,0
2.555499,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.555695,99,0,1,0,0x0800,4,20,0x00,0,83,0x00,0,56,6,0
2.555707,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.555963,92,4,1,0,0x0800,4,20,0x00,0,76,0x40,1,64,6,0
2.555993,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.556545,68,0,1,0,0x0800,4,20,0x00,0,52,0x00,0,56,6,0
2.558833,2868,0,1,0,0x0800,4,20,0x00,0,2852,0x00,0,56,6,0
2.558853,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.559024,1670,0,1,0,0x0800,4,20,0x00,0,1654,0x00,0,56,6,0
2.559032,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.560234,161,4,1,0,0x0800,4,20,0x00,0,145,0x40,1,64,6,0
2.561274,68,0,1,0,0x0800,4,20,0x00,0,52,0x00,0,56,6,0
2.579314,68,0,1,0,0x0800,4,20,0x00,0,52,0x00,0,56,6,0
